field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
OPENING_BUFFER_NO_CLOSE_MINUTES,FILTER,30.0,SOURCE_EXACT,opening_buffer_block|opening_buffer_exit_block,tradier_manage.py:4330-4355;tradier_manage.py:12523-12556;tradier_manage.py:14386;tradier_manage.py:14863;tradier_manage.py:15187,NONE,weekday ET|minutes since 09:30 ET|E02 stop bypass,N/A,consume_lifecycle_actions:ENTRY_FILTER_BLOCK|REENTRY_FILTER_BLOCK|AUGMENT_FILTER_BLOCK|EXIT_FILTER_BLOCK|REDUCE_FILTER_BLOCK,ENTRY|REENTRY|AUGMENT|EXIT|REDUCE|STOP,Weekends and non-positive configured minutes are not in the buffer; E02 is the exact stop-path exception
MARKET_CLOSE_HOUR,FILTER,16,SOURCE_EXACT,daytrade_preclose_window|daytrade_preclose_exit,tradier_manage.py:24998-25010;tradier_manage.py:25218-25255,NONE,current ET minutes|regular-session state|portfolio-selected profitable daytrade row,N/A,consume_lifecycle_actions:DAYTRADE_PRE_CLOSE_WINDOW|EXIT,EXIT,Owns only close-clock arithmetic; portfolio ranking remains explicit caller state
MARKET_CLOSE_MINUTE,FILTER,0,SOURCE_EXACT,daytrade_preclose_window|daytrade_preclose_exit,tradier_manage.py:24998-25010;tradier_manage.py:25218-25255,NONE,current ET minutes|regular-session state|portfolio-selected profitable daytrade row,N/A,consume_lifecycle_actions:DAYTRADE_PRE_CLOSE_WINDOW|EXIT,EXIT,Owns only close-clock arithmetic; strict positive time-to-close matches live
LONG_STRUCT_EXIT_TF,EXIT,D,SOURCE_EXACT,side_structural_exit,tradier_manage.py:5637-5668,open_{selected_tf}|high_{selected_tf}_prev|low_{selected_tf}_prev,position active latch state,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,LONG-only fallback when EXIT_STRUCT_TF is exactly None; distinct open token advances state
SHORT_STRUCT_EXIT_TF,EXIT,15m,SOURCE_EXACT,side_structural_exit,tradier_manage.py:5637-5668,open_{selected_tf}|high_{selected_tf}_prev|low_{selected_tf}_prev,position active latch state,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,SHORT-only fallback when EXIT_STRUCT_TF is exactly None; side-mirrored higher-high and higher-low transition
MTF_EXIT_MIN_OPEN_TS,FILTER,1779235200.0,SOURCE_EXACT,mtf_compound_position_eligible,tradier_manage.py:5820-5854;mtf_exit_timing.py:96-102,NONE,position opened timestamp|manager startup timestamp,N/A,consume_lifecycle_actions:MTF_COMPOUND_EXIT_FILTER_ALLOW,EXIT|STOP,Non-positive config resolves to startup timestamp; invalid open time fails closed
NOLOSS_BYPASS_WT_5OF5_MIN_TFS,FILTER,5,SOURCE_EXACT,noloss_bypass_wt_5of5|noloss_exit_filter_block,tradier_manage.py:13400-13440,wt1_5m|wt2_5m|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,gain|strict account applicability,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT_FILTER_BLOCK|REDUCE_FILTER_BLOCK,EXIT|REDUCE|STOP,Counts adverse native stock WT directions across exactly five timeframes
STDEV_BB_RZ_EXIT_TF,EXIT,D,SOURCE_EXACT,stdev_bb_rz_exit,tradier_manage.py:13720-13778;tradier_exit_indicator_contract_c5.py:36-75;tradier_exit_indicator_contract_c5.py:116-142,bb_pct_b_{selected_tf}|wt_velocity_1h|bb_pct_b_{selected_tf}_prev OR completed-parent source token,position active completed-parent latch,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Explicit predecessor is preferred; otherwise prior distinct completed parent is derived from its native token
TRADIER_POST_CLOSE_COOLDOWN_MIN,FILTER,15.0,SOURCE_EXACT,post_close_entry_block,tradier_manage.py:8597-8614,NONE,elapsed minutes since last reduction|mandatory-reentry bypass|ordinary-parity bypass,N/A,consume_lifecycle_actions:ENTRY_FILTER_BLOCK|REENTRY_FILTER_BLOCK|HEDGE_OPEN_FILTER_BLOCK,ENTRY|REENTRY|HEDGE_OPEN,Strict less-than cooldown at the queue boundary; AUGMENT is not in the guarded action set
DC_RECOVERY_EXIT_DISABLED_ACCOUNTS,FILTER,[inf],SOURCE_EXACT,dc_recovery_exit_filter_block|dc_recovery_exit,ez_manage.py:26299-26320,NONE,account key|existing DC recovery exit candidate,N/A,consume_lifecycle_actions:EXIT_FILTER_BLOCK|EXIT,EXIT|STOP,Account membership suppresses only the already-qualified recovery exit candidate
