field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
DD_BOUNCE_DD_STOP_ENABLED,REDUCE,True,SOURCE_EXACT,dd_bounce_stop,ez_manage.py:46131-46164,close_3m,position_active|position_above_min_qty|dd_bounce_qty_above_min|dd_last_augment_price,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE,REDUCE,Strict adverse breach of the recorded augment price
DD_BOUNCE_ENABLED,REDUCE,False,SOURCE_EXACT,dd_bounce_stop,ez_manage.py:46131-46164,close_3m,position_active|position_above_min_qty|dd_bounce_qty_above_min|dd_last_augment_price,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE,REDUCE,Parent switch for the DD leg-only reduction
HEDGE_TRIGGER_REQUIRE_WT_3M_AND_15M_OR_1H,HEDGE,True,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1022;1120-1260,wt1/wt2_3m|15m|1h,position_active|position_above_min_qty|gain_pct|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,First branch in the authoritative trigger precedence chain
HEDGE_TRIGGER_REQUIRE_WT_3M_AND_1H,HEDGE,False,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1022;1120-1260,wt1/wt2_3m|15m|1h,position_active|position_above_min_qty|gain_pct|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Second branch in the authoritative trigger precedence chain
HEDGE_TRIGGER_USE_WT_3M_ALONE,HEDGE,False,SOURCE_EXACT,obligatory_hedge_fire,position_evaluator.py:955-1022;1120-1260,wt1/wt2_3m|15m|1h,position_active|position_above_min_qty|gain_pct|hedge_already_active|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:REDUCE|EXIT|STOP|HEDGE|HOLD,REDUCE|EXIT|STOP|HEDGE|HOLD,Third branch in the authoritative trigger precedence chain
MANDATORY_HEDGE_GAIN_THRESHOLD_PCT,HEDGE,-0.5,SOURCE_EXACT,underwater_hedge_fire,ez_manage.py:42080-42220,wt1/wt2_15m|1h|4h|D,position_active|position_above_min_qty|gain_pct|seconds_since_underwater_action|hedge_already_active|hedge_engine_available|hedge_attempt_succeeded,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE|EXIT|STOP,HEDGE|EXIT|STOP,Loss threshold applies to the uncovered hedge attempt only
MICRO_SCALP_USDC_MAKER_ENABLED,EXIT,False,SOURCE_EXACT,underwater_force_close,ez_manage.py:42185-42202,wt1/wt2_15m|1h|4h|D,position_active|position_above_min_qty|gain_pct|seconds_since_underwater_action|hedge_already_active|symbol_is_usdc,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,One of three conjuncts in the USDC maker bypass
NEWBORN_LOSS_KILL_ENABLED,STOP,False,SOURCE_EXACT,newborn_loss_kill,ez_manage.py:40217-40266,wt_velocity_{NEWBORN_LOSS_KILL_VEL_TF_or_3m},position_active|position_above_min_qty|is_hedge|gain_pct|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Crypto position-age safety close; side symmetric
NEWBORN_LOSS_KILL_FILTER_TF,VEC_META,,REJECTED_NO_SOURCE_SEMANTICS,,,N/A,N/A,N/A,NONE,NONE,Evaluator-generated grid row has no authoritative declaration or executable read site
NEWBORN_LOSS_KILL_GAIN_THRESHOLD_PCT,STOP,0.0,SOURCE_EXACT,newborn_loss_kill,ez_manage.py:40217-40266,wt_velocity_{NEWBORN_LOSS_KILL_VEL_TF_or_3m},position_active|position_above_min_qty|is_hedge|gain_pct|position_age_minutes,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Inclusive gain threshold
