field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
RATIO_CLOSE_LOSING_COOLDOWN_SECONDS,REDUCE,900.0,SOURCE_EXACT,ratio_close_losing_overweight_reduce,ez_manage.py:31793-31869,NONE,elapsed_since_loser_close|portfolio PnL/skew|ordered positions,N/A,consume_lifecycle_actions:REDUCE,REDUCE,Inclusive cooldown guard
RATIO_CLOSE_LOSING_MAX_PER_CYCLE,REDUCE,2,SOURCE_EXACT,ratio_close_losing_overweight_reduce,ez_manage.py:31793-31869,NONE,ordered overweight losers,N/A,consume_lifecycle_actions:REDUCE,REDUCE,Worst gain first action cap
RATIO_CLOSE_LOSING_MIN_LOSS_PCT,REDUCE,-5.0,SOURCE_EXACT,ratio_close_losing_overweight_reduce,ez_manage.py:31793-31869,NONE,position gain|side|quantity,N/A,consume_lifecycle_actions:REDUCE,REDUCE,Inclusive loser threshold
RATIO_CLOSE_LOSING_MIN_PNL_DELTA_PCT,FILTER,10.0,SOURCE_EXACT,ratio_close_losing_overweight_reduce,ez_manage.py:31793-31869,NONE,long/short average gain and counts,N/A,consume_lifecycle_actions:REDUCE,REDUCE,Sign is mirrored by overweight side and comparison is strict
RATIO_CLOSE_LOSING_MIN_SKEW_PP,FILTER,40.0,SOURCE_EXACT,ratio_close_losing_overweight_reduce,ez_manage.py:31793-31869,NONE,portfolio long/short value and target,N/A,consume_lifecycle_actions:REDUCE,REDUCE,Inclusive portfolio skew guard
RATIO_CLOSE_LOSING_OVERWEIGHT,REDUCE,False,SOURCE_EXACT,ratio_close_losing_overweight_reduce,ez_manage.py:31793-31869,NONE,ordered positions|portfolio aggregates|cooldown,N/A,consume_lifecycle_actions:REDUCE,REDUCE,Opt-in master preserves historically disabled loss close
RATIO_MULTIPLIER,SIZING,3.0,SOURCE_EXACT,ratio_target_long_pct,ez_manage.py:31315-31335;ez_manage.py:362-377,NONE,breadth_bias|average_sentiment,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Amplifies target around neutral before clamp
RATIO_PNL_ACCELERATION,FILTER,2.5,SOURCE_EXACT,ratio_target_long_pct,ez_manage.py:31324-31351,NONE,long/short average gain and counts,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Scales PnL delta into side target signal
RATIO_PNL_DELTA_THRESHOLD,FILTER,3.0,SOURCE_EXACT,ratio_cycle_ready|ratio_target_long_pct,ez_manage.py:31095-31110,NONE,long/short average gain and counts,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Inclusive divergence threshold also selects cooldown
RATIO_PNL_TARGET_LONG_MAX,FILTER,90.0,SOURCE_EXACT,ratio_target_long_pct,ez_manage.py:31324-31351,NONE,long/short average gain and counts,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Upper clamp for divergent PnL target
RATIO_PNL_TARGET_LONG_MIN,FILTER,10.0,SOURCE_EXACT,ratio_target_long_pct,ez_manage.py:31324-31351,NONE,long/short average gain and counts,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Lower clamp for divergent PnL target
RATIO_PNL_WEIGHT,FILTER,0.5,SOURCE_EXACT,ratio_target_long_pct,ez_manage.py:31324-31351,NONE,PNL signal|breadth target,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Exact blend weight
RATIO_PNL_WEIGHT_ENABLED,FILTER,True,SOURCE_EXACT,ratio_cycle_ready|ratio_target_long_pct,ez_manage.py:31095-31110,NONE,long/short average gain and counts,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Master for divergence cooldown and target blend
RATIO_REBALANCE_APPLY_HTF_GATE,FILTER,True,SOURCE_EXACT,ratio_underweight_open_augment,ez_manage.py:31638-31730,wt1/wt2_D/4h/1h|sma_200_D,candidate side|price|score|ordered rank,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:ENTRY|AUGMENT,ENTRY|AUGMENT,Applies D mandatory and configured confirmation count exactly
RATIO_REBALANCE_CLOSE_OVERWEIGHT_ONLY,REDUCE,True,SOURCE_EXACT,ratio_close_overweight_reduce|ratio_underweight_open_augment,ez_manage.py:31496-31575,NONE,ordered positions|portfolio target|WT15 conviction,N/A,consume_lifecycle_actions:REDUCE|ENTRY|AUGMENT,REDUCE|ENTRY|AUGMENT,True closes profitable overweight positions and suppresses open path
RATIO_REBALANCE_COOLDOWN_CRASH,FILTER,1800.0,SOURCE_EXACT,ratio_cycle_ready,ez_manage.py:31095-31117,NONE,htf_aligned|elapsed seconds,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Selected after PnL and extreme priority
RATIO_REBALANCE_COOLDOWN_EXTREME,FILTER,3600.0,SOURCE_EXACT,ratio_cycle_ready,ez_manage.py:31095-31117,NONE,pre-ratio extreme|elapsed seconds,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Selected before HTF-aligned cooldown
RATIO_REBALANCE_COOLDOWN_NORMAL,FILTER,3600.0,SOURCE_EXACT,ratio_cycle_ready,ez_manage.py:31095-31117,NONE,elapsed seconds,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Default cooldown
RATIO_REBALANCE_COOLDOWN_PNL_DIVERGENT,FILTER,1200.0,SOURCE_EXACT,ratio_cycle_ready,ez_manage.py:31095-31117,NONE,PNL divergence|elapsed seconds,N/A,consume_lifecycle_actions:ENTRY|AUGMENT|REDUCE,ENTRY|AUGMENT|REDUCE,Highest-priority configured cooldown; k1h cross still forces zero
