field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
FUNDING_HEDGE_GATE_ENABLED,FILTER,True,SOURCE_EXACT,hedge_funding_entry_block,ez_positions_quick.py:12543-12570;vec_paths/funding_gate.py:1-73,funding_rate_3m|wt1/wt2_15m/1h/4h/D,position_active,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Uses the same MTF-conditioned funding contract as live and existing vector code
GR_HEDGE_SCORE_FLOOR,FILTER,15,SOURCE_EXACT,hedge_gr_trigger,ez_manage.py:26524-26543,NONE,gr_against_score|position_side|position_active,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Requires origin-adverse 3m WT plus total GR score at or above floor
HEDGE_ALL_POSITIONS,FILTER,False,SOURCE_EXACT,hedge_scan_filter_admit,ez_positions_quick.py:5200-5312,wt1/wt2_3m/15m/1h,gain_pct|hedge_min_loss_pct|gr_proactive_passes|position_active,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Bypasses loss-only gain gate but not WT GR newborn or deterioration filters
HEDGE_DC_LONG_REJECT_DCP,FILTER,0.85,SOURCE_EXACT,hedge_rank_config_block,ez_positions_quick.py:4662-4712,dc_position_15m/1h/4h|dc_high/low_1h/4h|WT pairs and velocity,current_price,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,LONG hedge rejects 1h/4h threshold and tighter 15m derived threshold
HEDGE_DC_RESISTANCE_GATE_ENABLED,FILTER,False,SOURCE_EXACT,hedge_rank_config_block,ez_positions_quick.py:4662-4712,dc_position_15m/1h/4h|dc_high/low_1h/4h|WT pairs and velocity,current_price,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Master for directional Donchian position and boundary proximity guards
HEDGE_DC_SHORT_REJECT_DCP,FILTER,0.15,SOURCE_EXACT,hedge_rank_config_block,ez_positions_quick.py:4662-4712,dc_position_15m/1h/4h|dc_high/low_1h/4h|WT pairs and velocity,current_price,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,SHORT hedge uses mirrored low-zone thresholds
HEDGE_DETERIORATING_GAIN_DELTA_PP,FILTER,0.1,SOURCE_EXACT,hedge_deteriorating_block,ez_positions_quick.py:5336-5343,wt1/wt2_3m/15m/1h,gain_pct|previous_gain_pct|position_active,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Blocks unless gain is strictly below previous gain minus configured pp delta when WT bypass is inactive
HEDGE_DETERIORATING_GAIN_ENABLED,FILTER,False,SOURCE_EXACT,hedge_deteriorating_block,ez_positions_quick.py:5336-5343,wt1/wt2_3m/15m/1h,gain_pct|previous_gain_pct|position_active,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Technical WT trigger bypass remains exact
HEDGE_NEWBORN_GRACE_MINUTES,FILTER,0.0,SOURCE_EXACT,hedge_newborn_grace_block,ez_positions_quick.py:5345-5380,wt1/wt2_3m/15m/1h|dc_low_or_high_3m,position_age_minutes|current_price|position_active,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Native 3m Donchian breach can bypass grace when existing master allows it
HEDGE_STRICT_WT_ALL_TFS_ENABLED,FILTER,True,SOURCE_EXACT,hedge_rank_config_block,ez_positions_quick.py:4677-4712,wt1/wt2_3m/15m/1h/4h/D,current_price,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Counts nonzero WT pairs aligned with proposed hedge direction
HEDGE_STRICT_WT_MIN_TFS_AGAINST,FILTER,4,SOURCE_EXACT,hedge_rank_config_block,ez_positions_quick.py:4679-4712,wt1/wt2_3m/15m/1h/4h/D,current_price,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Inclusive aligned-count threshold
HEDGE_TRIGGER_GR_SCORE_ENABLED,FILTER,True,SOURCE_EXACT,hedge_gr_trigger,ez_manage.py:26524-26543;ez_positions_quick.py:5288-5310,wt1/wt2_3m,gr_against_score|gr_proactive_passes|position_active,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Controls GR floor alternative and proactive source result; does not fabricate GR votes
HEDGE_WT_VEL_GATE_ENABLED,FILTER,False,SOURCE_EXACT,hedge_rank_config_block,ez_positions_quick.py:4663-4712,wt_velocity_3m/1h/4h plus complete rank recipe,current_price,ALL_BLOCK_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Directional 1h+4h zone plus adverse 3m velocity guard
NOLOSS_MIN_PROFIT_PCT,FILTER,0.0,SOURCE_EXACT,noloss_profit_gt_filter|noloss_profit_ge_filter,ez_manage.py:44577-44682;ez_positions_quick.py:3487-3506,NONE,gain_pct|position_active,N/A,consume_lifecycle_actions:EXIT_FILTER_GT|EXIT_FILTER_GE|REDUCE_FILTER_GT,EXIT|REDUCE,Strict and inclusive masks remain separate because live consumers use both comparisons
OI_HEDGE_GATE_ENABLED,FILTER,False,SOURCE_EXACT,hedge_oi_entry_block,ez_positions_quick.py:12508-12540,oi_change_1h_pct|close_1h_prev,current_price|position_active,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Applies exact four-quadrant OI-price entry veto to hedge entries
OPPOSITE_LOSER_DEEP_LOSS_PCT,FILTER,-5.0,SOURCE_EXACT,opposite_deep_loser_hedge_filter,ez_manage.py:44416-44437;ez_positions_quick.py:18368-18388,NONE,opposite_position_qty|opposite_position_gain_pct|known_hedge_state,N/A,consume_lifecycle_actions:REDUCE,REDUCE,Deep opposite leg reclassifies current leg as hedge and excludes partial-profit lock
PARTIAL_PROFIT_LOCK_FRAC,REDUCE,0.5,SOURCE_EXACT,partial_profit_lock_reduce,ez_manage.py:44439-44535;position_evaluator.py:1375-1387;position_evaluator.py:1504-1515,NONE,gain_pct|position_qty|min_qty|entry_price|PPL state|opposite-leg state,N/A,consume_lifecycle_actions:REDUCE,REDUCE|AUGMENT_FILTER,Controls reduce and keep quantities plus the shared post-PPL effective-gain transform
RED_ZONE_HEDGE_GATE_ENABLED,FILTER,False,SOURCE_EXACT,hedge_red_zone_entry_block,ez_positions_quick.py:12578-12655,orderbook wall pct/size OR native stoch_1m/15m and 1h/4h structure,orderbook_fresh|position_active,PRIMARY_OR_FALLBACK_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Preserves live orderbook-primary and native structural fallback branches
EXIT_PREEMPTIVE_BREAKEVEN_ENABLED,EXIT,True,REJECTED_SOURCE_INERT,,ez_positions_quick.py:6312-6362,NONE,NONE,N/A,NONE,NONE,Owning phase is enclosed by if False and False before this switch read
HEDGE_ALREADY_COVERED_THRESHOLD,FILTER,0.9,REJECTED_UNREACHABLE_ROUTE,,ez_positions_quick.py:7351;7612-7622,NONE,NONE,N/A,NONE,NONE,Same-symbol function returns False unconditionally before this branch
HEDGE_OPEN_OB_CHECK_ENABLED,FILTER,True,REJECTED_UNREACHABLE_ROUTE,,ez_positions_quick.py:7351;7538-7583,NONE,NONE,N/A,NONE,NONE,Same-symbol function returns False unconditionally before orderbook check
HEDGE_OPEN_OB_IMB_BOUND,FILTER,0.65,REJECTED_UNREACHABLE_ROUTE,,ez_positions_quick.py:7351;7548-7578,NONE,NONE,N/A,NONE,NONE,Same-symbol function returns False unconditionally before orderbook threshold
HEDGE_SAME_SYMBOL_BYPASS_TRADEABLE,EXECUTION,True,REJECTED_EXECUTION_ONLY,,ez_positions_quick.py:5447-5458,NONE,tracker tradeable-key registry,N/A,NONE,NONE,Mutates execution routing registry rather than a market predicate
MAKER_CLOSE_COMMISSION_FLOOR_TTL_SEC,EXECUTION,300.0,REJECTED_EXECUTION_ONLY,,ez_manage.py:23232-23248,NONE,broker maker-order state,N/A,NONE,NONE,Controls execution retry TTL after an exit decision
SCALP_REDUCE_ENABLED,EXECUTION,False,REJECTED_EXECUTION_ONLY,,ez_manage.py:18232;23871;46514,NONE,action label and execution route,N/A,NONE,NONE,Reclassifies requested reductions in broker plumbing rather than producing a causal signal
VP_GATE_HEDGE_GATE_ENABLED,FILTER,False,REJECTED_NO_PERSISTED_CAUSAL_OUTPUT,,ez_positions_quick.py:12668-12705,NONE,Redis volume-profile blob with timestamp and HVN density,N/A,NONE,NONE,Exact historical volume-profile blob is not persisted in the symbol NPZ
