field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
LH_HL_FILTER_ENABLED,bool,false,"[true,false]",LH_HL_FILTER,high_1h|high_1h_prev|high_4h|high_4h_prev|low_1h|low_1h_prev|low_4h|low_4h_prev|dc_high_1h|dc_high_4h|dc_low_1h|dc_low_4h,candidate_mask|is_hedge|is_augment,ENTRY|REENTRY|AUGMENT,ez_positions_quick.py:12713-12779,FAIL_CLOSED_N_A_DATA
LH_HL_FILTER_HEDGE_GATE_ENABLED,bool,false,"[false,true]",LH_HL_FILTER,high_1h|high_1h_prev|high_4h|high_4h_prev|low_1h|low_1h_prev|low_4h|low_4h_prev|dc_high_1h|dc_high_4h|dc_low_1h|dc_low_4h,candidate_mask|is_hedge|is_augment,ENTRY|REENTRY|AUGMENT,ez_positions_quick.py:12715-12718,FAIL_CLOSED_N_A_DATA
LH_HL_FILTER_MODE,str,"""STRICT_2BAR""","[""STRICT_2BAR"",""DC_REGRESS""]",LH_HL_FILTER,high_1h|high_1h_prev|high_4h|high_4h_prev|low_1h|low_1h_prev|low_4h|low_4h_prev|dc_high_1h|dc_high_4h|dc_low_1h|dc_low_4h,candidate_mask|is_hedge|is_augment,ENTRY|REENTRY|AUGMENT,ez_positions_quick.py:12721-12752,FAIL_CLOSED_N_A_DATA
LH_HL_FILTER_REQUIRE_BOTH,bool,false,"[false,true]",LH_HL_FILTER,high_1h|high_1h_prev|high_4h|high_4h_prev|low_1h|low_1h_prev|low_4h|low_4h_prev|dc_high_1h|dc_high_4h|dc_low_1h|dc_low_4h,candidate_mask|is_hedge|is_augment,ENTRY|REENTRY|AUGMENT,"ez_positions_quick.py:12724,12754-12779",FAIL_CLOSED_N_A_DATA
LH_HL_FILTER_TF_REQ,int,2,"[1,2]",LH_HL_FILTER,high_1h|high_1h_prev|high_4h|high_4h_prev|low_1h|low_1h_prev|low_4h|low_4h_prev|dc_high_1h|dc_high_4h|dc_low_1h|dc_low_4h,candidate_mask|is_hedge|is_augment,ENTRY|REENTRY|AUGMENT,"ez_positions_quick.py:12722,12755-12779",FAIL_CLOSED_N_A_DATA
TOP_OF_RANGE_BLOCK_ENABLED,bool,true,"[true,false]",TOP_OF_RANGE,close|dc_high_{tf}|dc_low_{tf}|dc_high_{tf}_prev|dc_low_{tf}_prev,candidate_mask,ENTRY|REENTRY|AUGMENT,ez_manage.py:24079-24151;vec_paths/top_of_range_block.py:68-124,FAIL_CLOSED_N_A_DATA
TOP_OF_RANGE_BLOCK_REQUIRE_ALL,bool,true,"[false,true]",TOP_OF_RANGE,close|dc_high_{tf}|dc_low_{tf}|dc_high_{tf}_prev|dc_low_{tf}_prev,candidate_mask,ENTRY|REENTRY|AUGMENT,ez_manage.py:24086-24151,FAIL_CLOSED_N_A_DATA
TOP_OF_RANGE_BLOCK_TF_LIST,str,"""1h,4h,D""","[""1h,4h,D""]",TOP_OF_RANGE,close|dc_high_{tf}|dc_low_{tf}|dc_high_{tf}_prev|dc_low_{tf}_prev,candidate_mask,ENTRY|REENTRY|AUGMENT,ez_manage.py:24083-24089,FAIL_CLOSED_N_A_DATA
TOP_OF_RANGE_BLOCK_THRESHOLD,float,0.95,[0.95],TOP_OF_RANGE,close|dc_high_{tf}|dc_low_{tf}|dc_high_{tf}_prev|dc_low_{tf}_prev,candidate_mask,ENTRY|REENTRY|AUGMENT,"ez_manage.py:24082,24105-24151",FAIL_CLOSED_N_A_DATA
GR_FILTER_ALL_ENTRIES,bool,true,"[false,true]",GR_ENTRY_FILTER,wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_pct_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|k_{tf}|d_{tf}|adx_{tf}|macd_hist_{tf}|ha_color_{tf},candidate_mask|is_fresh_entry,ENTRY,ez_manage.py:23962-24004;vec_paths/gr_filter_vec.py:44-151,FAIL_CLOSED_N_A_DATA
