field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
HTF_DIRECTION_GATE_ENABLED,bool,false,"[false,true]",HTF_DIRECTION,wt1_D|wt2_D|wt1_4h|wt2_4h|wt1_1h|wt2_1h|close|sma_200_D,candidate_mask|is_open_target|is_augment_target|is_rz_entry|is_v3_bypass|is_ratio_recovery_bypass,ENTRY|REENTRY|AUGMENT,"ez_positions_quick.py:11973-12027,12483-12510",FAIL_CLOSED_N_A_DATA
HTF_GATE_BYPASS_RZ,bool,true,"[false,true]",HTF_DIRECTION,wt1_D|wt2_D|wt1_4h|wt2_4h|wt1_1h|wt2_1h|close|sma_200_D,candidate_mask|is_open_target|is_augment_target|is_rz_entry|is_v3_bypass|is_ratio_recovery_bypass,ENTRY|REENTRY|AUGMENT,ez_positions_quick.py:12486-12500,FAIL_CLOSED_N_A_DATA
HTF_GATE_D_MANDATORY,bool,false,"[false,true]",HTF_DIRECTION,wt1_D|wt2_D|wt1_4h|wt2_4h|wt1_1h|wt2_1h|close|sma_200_D,candidate_mask|is_open_target|is_augment_target|is_rz_entry|is_v3_bypass|is_ratio_recovery_bypass,ENTRY|REENTRY|AUGMENT,ez_positions_quick.py:11973-12027,FAIL_CLOSED_N_A_DATA
HTF_GATE_MIN_CONFIRMATIONS,int,2,[2],HTF_DIRECTION,wt1_D|wt2_D|wt1_4h|wt2_4h|wt1_1h|wt2_1h|close|sma_200_D,candidate_mask|is_open_target|is_augment_target|is_rz_entry|is_v3_bypass|is_ratio_recovery_bypass,ENTRY|REENTRY|AUGMENT,ez_positions_quick.py:11973-12027,FAIL_CLOSED_N_A_DATA
HTF_GATE_SIGNALS_SMA200D,bool,true,"[false,true]",HTF_DIRECTION,wt1_D|wt2_D|wt1_4h|wt2_4h|wt1_1h|wt2_1h|close|sma_200_D,candidate_mask|is_open_target|is_augment_target|is_rz_entry|is_v3_bypass|is_ratio_recovery_bypass,ENTRY|REENTRY|AUGMENT,ez_positions_quick.py:11973-12027,FAIL_CLOSED_N_A_DATA
RATIO_PNL_DYNAMIC_GATES_ENABLED,bool,true,"[false,true]",RATIO_PNL,,candidate_mask|current_long_value|current_short_value|order_notional|long_avg_gain|short_avg_gain|long_count|short_count|is_hedge|is_reentry|is_rz|is_ratio_recovery,ENTRY|AUGMENT,ez_positions_quick.py:12886-12963,FAIL_CLOSED_N_A_DATA
RATIO_PNL_GATE_SOFT_MIN,float,0.5,[0.5],RATIO_PNL,,candidate_mask|current_long_value|current_short_value|order_notional|long_avg_gain|short_avg_gain|long_count|short_count|is_hedge|is_reentry|is_rz|is_ratio_recovery,ENTRY|AUGMENT,ez_positions_quick.py:12912-12925,FAIL_CLOSED_N_A_DATA
RATIO_PNL_GATE_SOFT_MAX,float,2.0,[2.0],RATIO_PNL,,candidate_mask|current_long_value|current_short_value|order_notional|long_avg_gain|short_avg_gain|long_count|short_count|is_hedge|is_reentry|is_rz|is_ratio_recovery,ENTRY|AUGMENT,ez_positions_quick.py:12912-12925,FAIL_CLOSED_N_A_DATA
WT_MTF_VEL_GATE_ENABLED,bool,true,"[false,true]",WT_ENTRY,wt_velocity_up_count|wt_velocity_down_count,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2177-2187,FAIL_CLOSED_N_A_DATA
WT_MTF_VEL_MIN,int,2,[2],WT_ENTRY,wt_velocity_up_count|wt_velocity_down_count,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2177-2187,FAIL_CLOSED_N_A_DATA
WT_CHOP_GATE_ENABLED,bool,false,"[false,true]",WT_ENTRY,wt_cross_count_{side}_{native}|wt_cross_count_{side}_15m|wt_cross_count_{side}_1h,candidate_mask|is_exit|is_hedge,ENTRY,ez_positions_quick.py:2188-2200,FAIL_CLOSED_N_A_DATA
