field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
ATR_TRAIL_SWEEP_ENABLED,EXIT,False,REJECTED_CENSUS_ONLY,,ez_manage.py:51845;tradier_manage.py:25326,NONE,NONE,N/A,NONE,NONE,Only reads into a throwaway local in generated census functions
AUGMENT_AT_LOSS_ENABLED,AUGMENT,False,REJECTED_CENSUS_ONLY,,ez_manage.py:51846;tradier_manage.py:25329,NONE,NONE,N/A,NONE,NONE,Only reads into a throwaway local in generated census functions
BOTTOM_A_PROTECTIVE_TRAIL_ARM_TIMEFRAME,STOP,4h,SOURCE_EXACT,bottom_a_protective_trail_exit,protective_trail_contract.py:136-292;tradier_manage.py:1946-1971,completed timestamp|OHLC|ATR selected arm and trail TFs,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Shared completed-parent state machine; Tradier only
BOTTOM_A_PROTECTIVE_TRAIL_BREAK_BUFFER_ATR,STOP,0.5,SOURCE_EXACT,bottom_a_protective_trail_exit,protective_trail_contract.py:190-218,completed timestamp|OHLC|ATR selected arm and trail TFs,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Adverse arm-parent break buffer
BOTTOM_A_PROTECTIVE_TRAIL_DISTANCE_MULT,STOP,1.0,SOURCE_EXACT,bottom_a_protective_trail_exit,protective_trail_contract.py:247-278,completed timestamp|OHLC|ATR selected arm and trail TFs,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,ATR or standard-deviation trail distance multiplier
BOTTOM_A_PROTECTIVE_TRAIL_ENABLED,STOP,False,SOURCE_EXACT,bottom_a_protective_trail_exit,tradier_manage.py:12394-12431,completed timestamp|OHLC|ATR selected arm and trail TFs,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Master for the shared stateful protective trail
BOTTOM_A_PROTECTIVE_TRAIL_LOOKBACK,STOP,6,SOURCE_EXACT,bottom_a_protective_trail_exit,protective_trail_contract.py:247-278,completed timestamp|OHLC|ATR selected arm and trail TFs,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Completed trail-parent history length
BOTTOM_A_PROTECTIVE_TRAIL_MODE,STOP,STDEV,SOURCE_EXACT,bottom_a_protective_trail_exit,protective_trail_contract.py:211-278,completed timestamp|OHLC|ATR selected arm and trail TFs,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Exact shared mode; invalid recipes fail closed
BOTTOM_A_PROTECTIVE_TRAIL_TRAIL_TIMEFRAME,STOP,5m,SOURCE_EXACT,bottom_a_protective_trail_exit,protective_trail_contract.py:219-292;tradier_manage.py:1946-1971,completed timestamp|OHLC|ATR selected arm and trail TFs,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Native completed trail parent; no TF substitution
BREAKEVEN_EXIT_AFTER_BARS,STOP,8,SOURCE_EXACT,breakeven_after_bars_exit,tradier_manage.py:13980-14011,close_5m|wt1/wt2_15m current and prior,position_active|position_above_min_qty|position_age_minutes|entry_price|max_gain_pct,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Age threshold is bars multiplied by configured TF duration
