field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
ENABLE_FAST_RISER_REDUCE,AUGMENT,True,SOURCE_EXACT,fast_riser_augment,ez_manage.py:45924-46020,close_3m_prev|low_3m|low_3m_prev|stoch_k_3m|stoch_d_3m,gain|age|price|qty|min_qty|HA3m|position caps,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:AUGMENT,AUGMENT,Legacy name is misleading; the owned action is FAST_RISER_DOUBLE AUGMENT
HEDGE_COMPLETED_LOCKOUT_SECONDS,FILTER,60,SOURCE_EXACT,hedge_completed_lock_block,ez_positions_quick.py:5047-5055,NONE,elapsed since completed hedge,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Strict less-than universal attempt debounce
HEDGE_MAX_ABSOLUTE_USD,SIZING,100000.0,SOURCE_EXACT,hedge_hard_cap_notional_usd,ez_positions_quick.py:6477-6489,NONE,requested hedge notional|origin value,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Absolute cap combines with loser-percentage cap
HEDGE_MAX_PCT_OF_LOSER,SIZING,1.0,SOURCE_EXACT,hedge_size_cap_qty|hedge_hard_cap_notional_usd,position_evaluator.py:458-476;position_evaluator.py:518-531;ez_positions_quick.py:6477-6489,NONE,origin value|price|requested qty/notional,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Uses existing exact shared scalar/vector quantity contract
HEDGE_SAME_SYMBOL_PCT,SIZING,1.0,SOURCE_EXACT,same_symbol_scan_qty,ez_positions_quick.py:5439-5462,NONE,origin quantity|price|min notional,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Scales scan request before min-notional admission
MOMENTUM_RIDER_HEDGE_RATIO,SIZING,1.2,SOURCE_EXACT,momentum_rider_hedge_qty,ez_manage.py:29406-29416;ez_manage.py:29665-29680,NONE,momentum primary quantity,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Direct hedge quantity multiplier
OBLIGATORY_HEDGE_OR_CLOSE_LOOP_ENABLED,FILTER,False,SOURCE_EXACT,obligatory_hedge_loop_enabled,ez_positions_quick.py:6142-6168,NONE,allowed account|loss scan state,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN|HEDGE_FAILED_EXIT,Master starts or permanently returns from the real periodic scan
OPPOSITE_LOSER_HEDGE_PROTECT_ENABLED,FILTER,False,SOURCE_EXACT,opposite_loser_close_block,ez_positions_quick.py:12114-12149;ez_manage.py:24550-24590,NONE,close/reduce request|opposite position quantity|reason bypass,N/A,consume_lifecycle_actions:EXIT_FILTER_BLOCK|REDUCE_FILTER_BLOCK,EXIT|REDUCE,Binary opposite-position existence gate; no PnL threshold remains
QUICK_HEDGE_SAME_SYM_LAST_RESORT_ENABLED,FILTER,False,SOURCE_EXACT,quick_same_symbol_last_resort_block,ez_positions_quick.py:7217-7252,NONE,last-resort state|elected hedge success,N/A,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,False blocks actual-symbol fallback before the independent K-zone check
WT_15M_SAME_HEDGE_COOLDOWN_SEC,FILTER,1800,SOURCE_EXACT,wt15_same_hedge_open,ez_manage.py:44070-44170,wt1/wt2_15m|wt_cross_bars_ago_15m|wt_cross_15m,elapsed since max in-memory/Redis timestamp|daily count,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Inclusive elapsed-time admission after fresh directional cross
WT_15M_SAME_HEDGE_DAILY_CAP,FILTER,2,SOURCE_EXACT,wt15_same_hedge_open,ez_manage.py:44070-44170,wt1/wt2_15m|wt_cross_bars_ago_15m|wt_cross_15m,elapsed since hedge|daily count,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:HEDGE_OPEN,HEDGE_OPEN,Blocks when count is greater than or equal to cap
HEDGE_CLOSE_REMOVE_FROM_TRADEABLE,EXECUTION,False,REJECTED_EXECUTION_ONLY,,,NONE,tradeable-key registry,N/A,NONE,NONE,Post-close registry mutation is not a causal exit predicate
HEDGE_SAME_SYMBOL_ENABLED,FILTER,False,REJECTED_UNREACHABLE_ROUTE,,ez_positions_quick.py:6170;6425,NONE,NONE,N/A,NONE,NONE,Only located in breathing_hedge_scan after unconditional return
HEDGE_WEBHOOK_LOCK_TTL_SEC,EXECUTION,60.0,REJECTED_EXECUTION_ONLY,,,NONE,webhook dedupe registry,N/A,NONE,NONE,Execution lock duration does not create a strategy signal
OBLIGATORY_HEDGE_OR_CLOSE_LOOP_INTERVAL_SECONDS,SCHEDULING,60.0,REJECTED_SCHEDULING_ONLY,,ez_positions_quick.py:6146-6168,NONE,wall clock scheduler,N/A,NONE,NONE,Changes polling cadence rather than per-observation semantics
OBLIGATORY_HEDGE_WT_TFS,FILTER,2,REJECTED_UNREACHABLE_ROUTE,,ez_positions_quick.py:6170;6385-6430,NONE,NONE,N/A,NONE,NONE,Read only in permanently disabled breathing hedge function
OPPOSITE_LOSER_HEDGE_PROTECT_MAX_GAIN,FILTER,5.0,REJECTED_SOURCE_INERT,,ez_manage.py:24550-24590,NONE,NONE,N/A,NONE,NONE,Source explicitly says max-gain condition was removed in favor of binary existence
OPPOSITE_LOSER_HEDGE_PROTECT_REQUIRE_WT_3M,FILTER,False,REJECTED_SOURCE_INERT,,ez_manage.py:24550-24590,NONE,NONE,N/A,NONE,NONE,Source explicitly says WT requirement was removed
QUICK_HEDGE_SAME_SYM_LAST_RESORT_AGE_MIN,FILTER,240.0,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Catalog field has no executable read in last-resort source
QUICK_HEDGE_SAME_SYM_LAST_RESORT_GAIN_PCT,FILTER,-3.0,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Catalog field has no executable read in last-resort source
QUICK_HEDGE_SAME_SYM_LAST_RESORT_QTY_PCT,SIZING,1.0,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Catalog field has no executable read in last-resort source
QUICK_HEDGE_SAME_SYM_LAST_RESORT_VEC_ENABLED,VEC_META,False,REJECTED_NO_SOURCE_SEMANTICS,,,NONE,NONE,N/A,NONE,NONE,Workbook vector toggle has no authoritative live predicate
