field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
BB_PULLBACK_GATE_TF,str,"""15m""","[""15m""]",BB_PULLBACK_FILTER,bb_pct_b_{tf},candidate_mask,ENTRY,vec_paths/bb_pullback_gate.py:13-28,FAIL_CLOSED_N_A_DATA
FUNDING_GATE_ENABLED,bool,true,"[true,false]",FUNDING_FILTER,funding_rate_{native}|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,ENTRY,vec_paths/funding_gate.py:45-84,FAIL_CLOSED_N_A_DATA
FUNDING_GATE_LONG_MAX,float,0.0005,[0.0005],FUNDING_FILTER,funding_rate_{native}|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,ENTRY,vec_paths/funding_gate.py:45-54,FAIL_CLOSED_N_A_DATA
FUNDING_GATE_MTF_LONG_MAX_BULL_TFS,int,0,[0],FUNDING_FILTER,funding_rate_{native}|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,ENTRY,vec_paths/funding_gate.py:51-54,FAIL_CLOSED_N_A_DATA
FUNDING_GATE_MTF_REQUIRED,bool,true,"[false,true]",FUNDING_FILTER,funding_rate_{native}|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,ENTRY,"vec_paths/funding_gate.py:47-54,59-66",FAIL_CLOSED_N_A_DATA
FUNDING_GATE_MTF_SHORT_MAX_BEAR_TFS,int,1,[1],FUNDING_FILTER,funding_rate_{native}|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,ENTRY,vec_paths/funding_gate.py:63-66,FAIL_CLOSED_N_A_DATA
FUNDING_GATE_SHORT_MIN,float,-0.0005,[-0.0005],FUNDING_FILTER,funding_rate_{native}|wt1_15m|wt2_15m|wt1_1h|wt2_1h|wt1_4h|wt2_4h|wt1_D|wt2_D,candidate_mask,ENTRY,vec_paths/funding_gate.py:57-66,FAIL_CLOSED_N_A_DATA
MTF_ARMED_BANDTYPES,str,"""dc,bb,wt""","[""dc,bb,wt""]",MTF_ARMED_FILTER,close_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|wt1_{tf}|wt2_{tf},candidate_mask,ENTRY|AUGMENT,vec_paths/mtf_armed_entries.py:284-368,FAIL_CLOSED_N_A_DATA
MTF_ARMED_HTF_LIST,str,"""1h,4h,D,W""","[""1h,4h,D,W""]",MTF_ARMED_FILTER,close_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|wt1_{tf}|wt2_{tf},candidate_mask,ENTRY|AUGMENT,vec_paths/mtf_armed_entries.py:284-368,FAIL_CLOSED_N_A_DATA
MTF_ATR_TRAIL_TF,str,"""15m""","[""15m""]",MTF_COMPOUND_EXIT,close|atr_{tf},candidate_mask|entry_price|previous_trail,EXIT,vec_paths/mtf_armed_entries.py:143-213,FAIL_CLOSED_N_A_DATA
MTF_GR_EXIT_MIN_IND,int,5,[5],MTF_GR_EXIT_FILTER,wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_pct_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|k_{tf}|d_{tf}|adx_{tf}|macd_hist_{tf}|ha_color_{tf},candidate_mask,EXIT,v12_wide_engine.py:6812-6842;mtf_live_evaluator.py:488-503,FAIL_CLOSED_N_A_DATA
MTF_GR_EXIT_MIN_TFS,int,3,[3],MTF_GR_EXIT_FILTER,wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_pct_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|k_{tf}|d_{tf}|adx_{tf}|macd_hist_{tf}|ha_color_{tf},candidate_mask,EXIT,v12_wide_engine.py:6812-6842;mtf_live_evaluator.py:488-503,FAIL_CLOSED_N_A_DATA
MTF_WT_CROSS_EXIT_DIRECT_ENABLED,bool,false,"[true,false]",MTF_WT_EXIT_FILTER,wt1_15m|wt2_15m|wt1_15m_prev|wt2_15m_prev|wt1_1h|wt2_1h|wt1_1h_prev|wt2_1h_prev,candidate_mask,EXIT,vec_paths/mtf_armed_entries.py:231-243,FAIL_CLOSED_N_A_DATA
MTF_WT_CROSS_EXIT_TF,str,"""15m""","[""15m""]",MTF_WT_EXIT_FILTER,wt1_15m|wt2_15m|wt1_15m_prev|wt2_15m_prev|wt1_1h|wt2_1h|wt1_1h_prev|wt2_1h_prev,candidate_mask,EXIT,"vec_paths/mtf_armed_entries.py:233-243,247-257",FAIL_CLOSED_N_A_DATA
